work_name_en,release_or_first_broadcast_date,location_text_from_category,source_category,work_wikidata_id,imdb_id,wikipedia_url,episode_timecode_start,episode_timecode_end,data_source,license
Girls' Night,,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/Girls%27_Night,,,English Wikipedia category membership,CC BY-SA 4.0
"Girls, Please!",,"Imperial Studios, Elstree","Category:Films shot at Imperial Studios, Elstree",,,https://en.wikipedia.org/wiki/Girls%2C_Please%21,,,English Wikipedia category membership,CC BY-SA 4.0
Give Her a Ring,,British International Pictures Studios,Category:Films shot at British International Pictures Studios,,,https://en.wikipedia.org/wiki/Give_Her_a_Ring,,,English Wikipedia category membership,CC BY-SA 4.0
Give Me the Stars,,British National Studios,Category:Films shot at British National Studios,,,https://en.wikipedia.org/wiki/Give_Me_the_Stars,,,English Wikipedia category membership,CC BY-SA 4.0
Give Them Wings,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Give_Them_Wings,,,English Wikipedia category membership,CC BY-SA 4.0
Give Us This Day (1949 film),1949,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Give_Us_This_Day_%281949_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Give Us a Clue,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Give_Us_a_Clue,,,English Wikipedia category membership,CC BY-SA 4.0
Glad Tidings (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Glad_Tidings_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Glad Tidings (film),,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/Glad_Tidings_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gladiator (2000 film),2000,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gladiator_%282000_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gladiator II,,the United Kingdom,Category:Films shot in the United Kingdom,,,https://en.wikipedia.org/wiki/Gladiator_II,,,English Wikipedia category membership,CC BY-SA 4.0
Gladiators (2008 British TV series),2008,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Gladiators_%282008_British_TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Glamorous Night (film),,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/Glamorous_Night_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Glamour (1931 film),1931,British International Pictures Studios,Category:Films shot at British International Pictures Studios,,,https://en.wikipedia.org/wiki/Glamour_%281931_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Glamour Girl (1938 film),1938,Teddington Studios,Category:Films shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Glamour_Girl_%281938_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Glenrothan,,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/Glenrothan,,,English Wikipedia category membership,CC BY-SA 4.0
Glitterati (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Glitterati_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Global Heresy,,Gloucestershire,Category:Films shot in Gloucestershire,,,https://en.wikipedia.org/wiki/Global_Heresy,,,English Wikipedia category membership,CC BY-SA 4.0
Glorious 39,,Buckinghamshire,Category:Films shot in Buckinghamshire,,,https://en.wikipedia.org/wiki/Glorious_39,,,English Wikipedia category membership,CC BY-SA 4.0
Glorious 39,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Glorious_39,,,English Wikipedia category membership,CC BY-SA 4.0
Glorious 39,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Glorious_39,,,English Wikipedia category membership,CC BY-SA 4.0
Glorious 39,,Norfolk,Category:Films shot in Norfolk,,,https://en.wikipedia.org/wiki/Glorious_39,,,English Wikipedia category membership,CC BY-SA 4.0
Glorious Youth,,British International Pictures Studios,Category:Films shot at British International Pictures Studios,,,https://en.wikipedia.org/wiki/Glorious_Youth,,,English Wikipedia category membership,CC BY-SA 4.0
Go Away!,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Go_Away%21,,,English Wikipedia category membership,CC BY-SA 4.0
Go Away!,,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/Go_Away%21,,,English Wikipedia category membership,CC BY-SA 4.0
Go for a Take,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Go_for_a_Take,,,English Wikipedia category membership,CC BY-SA 4.0
Go to Blazes (1962 film),1962,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/Go_to_Blazes_%281962_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Goal (2007 Hindi film),2007,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/Goal_%282007_Hindi_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Goal III: Taking on the World,,Nottinghamshire,Category:Films shot in Nottinghamshire,,,https://en.wikipedia.org/wiki/Goal_III%3A_Taking_on_the_World,,,English Wikipedia category membership,CC BY-SA 4.0
Goal! (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Goal%21_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
God Help the Girl (film),,Glasgow,Category:Films shot in Glasgow,,,https://en.wikipedia.org/wiki/God_Help_the_Girl_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
God's Clay (1928 film),1928,British International Pictures Studios,Category:Films shot at British International Pictures Studios,,,https://en.wikipedia.org/wiki/God%27s_Clay_%281928_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
God's Own Country (2017 film),2017,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/God%27s_Own_Country_%282017_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Going Gay,,"Imperial Studios, Elstree","Category:Films shot at Imperial Studios, Elstree",,,https://en.wikipedia.org/wiki/Going_Gay,,,English Wikipedia category membership,CC BY-SA 4.0
Going Off Big Time,,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/Going_Off_Big_Time,,,English Wikipedia category membership,CC BY-SA 4.0
Going Straight (1933 film),1933,Teddington Studios,Category:Films shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Going_Straight_%281933_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Going for Gold,,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/Going_for_Gold,,,English Wikipedia category membership,CC BY-SA 4.0
Gold (1974 film),1974,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Gold_%281974_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gold (2018 film),2018,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gold_%282018_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gold (2018 film),2018,South Yorkshire,Category:Films shot in South Yorkshire,,,https://en.wikipedia.org/wiki/Gold_%282018_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gold (2018 film),2018,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/Gold_%282018_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Golda (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Golda_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Golden Arrow (1949 film),1949,Teddington Studios,Category:Films shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Golden_Arrow_%281949_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Golden Salamander (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Golden_Salamander_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,Cambridgeshire,Category:Films shot in Cambridgeshire,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,Warner Bros. Studios Leavesden,Category:Films shot at Warner Bros. Studios Leavesden,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
GoldenEye,,Wiltshire,Category:Films shot in Wiltshire,,,https://en.wikipedia.org/wiki/GoldenEye,,,English Wikipedia category membership,CC BY-SA 4.0
Goldfinger (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Goldfinger_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Goldfinger (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Goldfinger_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gone (2026 TV series),2026,Bristol,Category:Television shows shot in Bristol,,,https://en.wikipedia.org/wiki/Gone_%282026_TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gone Too Far! (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gone_Too_Far%21_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gone to Earth (film),,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Gone_to_Earth_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gone to Earth (film),,Shropshire,Category:Films shot in Shropshire,,,https://en.wikipedia.org/wiki/Gone_to_Earth_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good Bad Ugly,,the United Kingdom,Category:Films shot in the United Kingdom,,,https://en.wikipedia.org/wiki/Good_Bad_Ugly,,,English Wikipedia category membership,CC BY-SA 4.0
Good Boy (2023 film),2023,Somerset,Category:Films shot in Somerset,,,https://en.wikipedia.org/wiki/Good_Boy_%282023_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good Boy (2025 Komasa film),2025,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/Good_Boy_%282025_Komasa_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good Cop,,Liverpool,Category:Television shows shot in Liverpool,,,https://en.wikipedia.org/wiki/Good_Cop,,,English Wikipedia category membership,CC BY-SA 4.0
Good Grief (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Good_Grief_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
"Good Luck to You, Leo Grande",,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Good_Luck_to_You%2C_Leo_Grande,,,English Wikipedia category membership,CC BY-SA 4.0
"Good Luck to You, Leo Grande",,Norfolk,Category:Films shot in Norfolk,,,https://en.wikipedia.org/wiki/Good_Luck_to_You%2C_Leo_Grande,,,English Wikipedia category membership,CC BY-SA 4.0
Good Omens (TV series),,England,Category:Television shows shot in England,,,https://en.wikipedia.org/wiki/Good_Omens_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good Omens (TV series),,Scotland,Category:Television shows shot in Scotland,,,https://en.wikipedia.org/wiki/Good_Omens_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good People (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Good_People_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Good-Time Girl,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Good-Time_Girl,,,English Wikipedia category membership,CC BY-SA 4.0
Goodbye Christopher Robin,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Goodbye_Christopher_Robin,,,English Wikipedia category membership,CC BY-SA 4.0
Goodbye Christopher Robin,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/Goodbye_Christopher_Robin,,,English Wikipedia category membership,CC BY-SA 4.0
Goodbye Gemini,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Goodbye_Gemini,,,English Wikipedia category membership,CC BY-SA 4.0
Goodbye June (film),,the United Kingdom,Category:Films shot in the United Kingdom,,,https://en.wikipedia.org/wiki/Goodbye_June_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
"Goodbye, Mr. Chips (1939 film)",1939,Denham Film Studios,Category:Films shot at Denham Film Studios,,,https://en.wikipedia.org/wiki/Goodbye%2C_Mr._Chips_%281939_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
"Goodbye, Mr. Chips (1969 film)",1969,MGM-British Studios,Category:Films shot at MGM-British Studios,,,https://en.wikipedia.org/wiki/Goodbye%2C_Mr._Chips_%281969_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Goodness Gracious Me (TV series),,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/Goodness_Gracious_Me_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Goodnight Sweetheart (TV series),,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Goodnight_Sweetheart_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
"Goodnight, Vienna",,"Imperial Studios, Elstree","Category:Films shot at Imperial Studios, Elstree",,,https://en.wikipedia.org/wiki/Goodnight%2C_Vienna,,,English Wikipedia category membership,CC BY-SA 4.0
Googoosh Music Academy,,England,Category:Television shows shot in England,,,https://en.wikipedia.org/wiki/Googoosh_Music_Academy,,,English Wikipedia category membership,CC BY-SA 4.0
Gorgo (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Gorgo_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gorgo (film),,MGM-British Studios,Category:Films shot at MGM-British Studios,,,https://en.wikipedia.org/wiki/Gorgo_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gorillas in the Mist,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gorillas_in_the_Mist,,,English Wikipedia category membership,CC BY-SA 4.0
Gosford Park,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gosford_Park,,,English Wikipedia category membership,CC BY-SA 4.0
Gosford Park,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Gosford_Park,,,English Wikipedia category membership,CC BY-SA 4.0
Gothic (film),,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/Gothic_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Govindudu Andarivadele,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Govindudu_Andarivadele,,,English Wikipedia category membership,CC BY-SA 4.0
Grace (TV series),,Sussex,Category:Television shows shot in Sussex,,,https://en.wikipedia.org/wiki/Grace_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grafters,,Sussex,Category:Television shows shot in Sussex,,,https://en.wikipedia.org/wiki/Grafters,,,English Wikipedia category membership,CC BY-SA 4.0
Grand Finale (film),,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Grand_Finale_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grand National Night,,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/Grand_National_Night,,,English Wikipedia category membership,CC BY-SA 4.0
Grange Hill,,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/Grange_Hill,,,English Wikipedia category membership,CC BY-SA 4.0
Grange Hill,,Liverpool,Category:Television shows shot in Liverpool,,,https://en.wikipedia.org/wiki/Grange_Hill,,,English Wikipedia category membership,CC BY-SA 4.0
Grantchester (TV series),,Elstree Film Studios,Category:Television shows shot at Elstree Film Studios,,,https://en.wikipedia.org/wiki/Grantchester_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gravity (2013 film),2013,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Gravity_%282013_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gravity (2013 film),2013,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/Gravity_%282013_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Catherine (film),,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Great_Catherine_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Day (1945 film),1945,Denham Film Studios,Category:Films shot at Denham Film Studios,,,https://en.wikipedia.org/wiki/Great_Day_%281945_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Expectations (1946 film),1946,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Great_Expectations_%281946_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Expectations (1974 film),1974,EMI-Elstree Studios,Category:Films shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/Great_Expectations_%281974_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Expectations (1974 film),1974,EMI-Elstree Studios,Category:Television shows shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/Great_Expectations_%281974_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Expectations (1989 TV series),1989,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Great_Expectations_%281989_TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Expectations (2012 film),2012,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Great_Expectations_%282012_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Great Moments in Aviation,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Great_Moments_in_Aviation,,,English Wikipedia category membership,CC BY-SA 4.0
Great Stuff,,Beaconsfield Studios,Category:Films shot at Beaconsfield Studios,,,https://en.wikipedia.org/wiki/Great_Stuff,,,English Wikipedia category membership,CC BY-SA 4.0
Great Yarmouth: Provisional Figures,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Great_Yarmouth%3A_Provisional_Figures,,,English Wikipedia category membership,CC BY-SA 4.0
Greatest Days (film),,Lancashire,Category:Films shot in Lancashire,,,https://en.wikipedia.org/wiki/Greatest_Days_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Greek Street (film),,Lime Grove Studios,Category:Films shot at Lime Grove Studios,,,https://en.wikipedia.org/wiki/Greek_Street_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green Fingers (1947 film),1947,British National Studios,Category:Films shot at British National Studios,,,https://en.wikipedia.org/wiki/Green_Fingers_%281947_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green Fingers (1947 film),1947,North Yorkshire,Category:Films shot in North Yorkshire,,,https://en.wikipedia.org/wiki/Green_Fingers_%281947_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green Grow the Rushes (film),,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/Green_Grow_the_Rushes_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green Zone (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Green_Zone_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green Zone (film),,Longcross Studios,Category:Films shot at Longcross Studios,,,https://en.wikipedia.org/wiki/Green_Zone_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Green for Danger (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Green_for_Danger_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Greenland 2: Migration,,Berkshire,Category:Films shot in Berkshire,,,https://en.wikipedia.org/wiki/Greenland_2%3A_Migration,,,English Wikipedia category membership,CC BY-SA 4.0
Greenland 2: Migration,,Hampshire,Category:Films shot in Hampshire,,,https://en.wikipedia.org/wiki/Greenland_2%3A_Migration,,,English Wikipedia category membership,CC BY-SA 4.0
Greenland 2: Migration,,Shinfield Studios,Category:Films shot at Shinfield Studios,,,https://en.wikipedia.org/wiki/Greenland_2%3A_Migration,,,English Wikipedia category membership,CC BY-SA 4.0
Gregory's Girl,,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/Gregory%27s_Girl,,,English Wikipedia category membership,CC BY-SA 4.0
Gregory's Two Girls,,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/Gregory%27s_Two_Girls,,,English Wikipedia category membership,CC BY-SA 4.0
Grenfell (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Grenfell_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grey Owl (film),,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Grey_Owl_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Greyfriars Bobby (film),,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/Greyfriars_Bobby_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Greyfriars Bobby (film),,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Greyfriars_Bobby_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",,EMI-Elstree Studios,Category:Films shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/Greystoke%3A_The_Legend_of_Tarzan%2C_Lord_of_the_Apes,,,English Wikipedia category membership,CC BY-SA 4.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/Greystoke%3A_The_Legend_of_Tarzan%2C_Lord_of_the_Apes,,,English Wikipedia category membership,CC BY-SA 4.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/Greystoke%3A_The_Legend_of_Tarzan%2C_Lord_of_the_Apes,,,English Wikipedia category membership,CC BY-SA 4.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",,the Scottish Borders,Category:Films shot in the Scottish Borders,,,https://en.wikipedia.org/wiki/Greystoke%3A_The_Legend_of_Tarzan%2C_Lord_of_the_Apes,,,English Wikipedia category membership,CC BY-SA 4.0
Grimsby (film),,Essex,Category:Films shot in Essex,,,https://en.wikipedia.org/wiki/Grimsby_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grimsby (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Grimsby_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grow (film),,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/Grow_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Grow Your Own,,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/Grow_Your_Own,,,English Wikipedia category membership,CC BY-SA 4.0
Guardians of the Galaxy (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Guardians of the Galaxy (film),,Longcross Studios,Category:Films shot at Longcross Studios,,,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Guardians of the Galaxy (film),,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Guest House Paradiso,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Guest_House_Paradiso,,,English Wikipedia category membership,CC BY-SA 4.0
Guest iin London,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Guest_iin_London,,,English Wikipedia category membership,CC BY-SA 4.0
Guilt (1931 film),1931,Isleworth Studios,Category:Films shot at Isleworth Studios,,,https://en.wikipedia.org/wiki/Guilt_%281931_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Guilt Is My Shadow,,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/Guilt_Is_My_Shadow,,,English Wikipedia category membership,CC BY-SA 4.0
Guilt Is My Shadow,,Devon,Category:Films shot in Devon,,,https://en.wikipedia.org/wiki/Guilt_Is_My_Shadow,,,English Wikipedia category membership,CC BY-SA 4.0
Gulliver's Travels (2010 film),2010,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/Gulliver%27s_Travels_%282010_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gulliver's Travels (2010 film),2010,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/Gulliver%27s_Travels_%282010_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gulliver's Travels (2010 film),2010,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Gulliver%27s_Travels_%282010_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gumshoe (film),,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/Gumshoe_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gunpowder (TV series),,Bradford,Category:Television shows shot in Bradford,,,https://en.wikipedia.org/wiki/Gunpowder_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gunpowder (TV series),,Leeds,Category:Television shows shot in Leeds,,,https://en.wikipedia.org/wiki/Gunpowder_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gunpowder (TV series),,York,Category:Television shows shot in York,,,https://en.wikipedia.org/wiki/Gunpowder_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gunpowder (TV series),,Yorkshire,Category:Television shows shot in Yorkshire,,,https://en.wikipedia.org/wiki/Gunpowder_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
Guns at Batasi,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/Guns_at_Batasi,,,English Wikipedia category membership,CC BY-SA 4.0
Guns of Darkness,,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/Guns_of_Darkness,,,English Wikipedia category membership,CC BY-SA 4.0
Gypsy (1937 film),1937,Teddington Studios,Category:Films shot at Teddington Studios,,,https://en.wikipedia.org/wiki/Gypsy_%281937_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
Gypsy Melody,,British International Pictures Studios,Category:Films shot at British International Pictures Studios,,,https://en.wikipedia.org/wiki/Gypsy_Melody,,,English Wikipedia category membership,CC BY-SA 4.0
Gypsy Woman (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/Gypsy_Woman_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
H Is for Hawk (film),,Cambridgeshire,Category:Films shot in Cambridgeshire,,,https://en.wikipedia.org/wiki/H_Is_for_Hawk_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
H Is for Hawk (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/H_Is_for_Hawk_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
H Is for Hawk (film),,Wales,Category:Films shot in Wales,,,https://en.wikipedia.org/wiki/H_Is_for_Hawk_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
HaMerotz LaMillion 4,,London,Category:Television shows shot in London,,,https://en.wikipedia.org/wiki/HaMerotz_LaMillion_4,,,English Wikipedia category membership,CC BY-SA 4.0
